,Zone,Type,Plant,Recommended Spacing
10,Berry Patch,Accent,Zinnia 'Macarenia',"12"" spacing"
11,Berry Patch,Filler,Cosmos 'Sea Shells',"12"" spacing"
13,Berry Patch,Filler Edge,Dandelion 'Pink',"6–9"" spacing"
12,Berry Patch,Filler Edge,Poppy 'Frosted Salmon',"6–9"" spacing"
7,Berry Patch,Focal,Ben Huston Dahlia,"18–24"" spacing"
6,Berry Patch,Focal,Otto’s Thrill Dahlia,"18–24"" spacing"
8,Berry Patch,Focal,Pink Double Delight Coneflower,"18"" spacing"
9,Berry Patch,Focal/Texture,Rocco Dahlia,"18"" spacing"
30,Moonlit Meadow,Accent Spike,Lizzy Dwarf Gladiolus,"6–9"" spacing"
31,Moonlit Meadow,Filler,Daisy 'Pink Shades Paper',"12"" spacing"
28,Moonlit Meadow,Filler Edge,Chamomile,"6–9"" spacing"
26,Moonlit Meadow,Focal,Fairway Pilot Dahlia,"18–24"" spacing"
27,Moonlit Meadow,Focal Spike,Hollyhock 'Majorette',"18–24"" spacing"
29,Moonlit Meadow,Texture Edge,Bunny Tails Grass,"9"" spacing"
32,Moonlit Meadow,Whimsy Edge,Johnny Jump Ups,"6"" spacing"
5,Spice Drift,Filler Spike,Hyssop,"12"" spacing"
2,Spice Drift,Focal,Marmalade Coneflower,"18"" spacing"
0,Spice Drift,Focal,Zinnia 'Redman Super Cactus',"12"" spacing"
4,Spice Drift,Focal/Transition,Dahlia 'Advance',"18–24"" spacing"
1,Spice Drift,Line,Snapdragon 'Orange Wonder',"9"" spacing"
3,Spice Drift,Line,Snapdragon 'Tall Deluxe',"9"" spacing"
17,Sunrise Cloud,Edge,Candy Cane Stripe Zinnias,"12"" spacing"
14,Sunrise Cloud,Filler,Cosmos 'Apricotta',"12"" spacing"
19,Sunrise Cloud,Filler Edge,Chamomile,"6–9"" spacing"
18,Sunrise Cloud,Focal,Dahlia 'Bantling',"18"" spacing"
15,Sunrise Cloud,Focal,Zinnia 'Oklahoma Pink',"12"" spacing"
16,Sunrise Cloud,Focal/Edge,Aster 'Salmon Janina',"9–12"" spacing"
22,Twilight Hollow,Accent,Daisy 'Blue Disc African',"12"" spacing"
24,Twilight Hollow,Edge,Poppy 'Lilac PomPom',"9"" spacing"
23,Twilight Hollow,Edge,Poppy 'Purple Peony',"9"" spacing"
25,Twilight Hollow,Filler,Bachelor Buttons,"9–12"" spacing"
21,Twilight Hollow,Filler,Tweedia 'Heavenly Blue',"12"" spacing"
20,Twilight Hollow,Focal,Pacific Jewel Dahlia,"18–24"" spacing"
