Zone,Plant,Type/Role,Height,Placement,How Many,Arrangement,Recommended Spacing
Sunrise Cloud,Cosmos 'Apricotta',Filler,Mid-tall,Middle,3,Gentle line or loose arc,"12"" spacing"
Sunrise Cloud,Zinnia 'Oklahoma Pink',Focal,Mid,Middle,3,Line or small cluster,"12"" spacing"
Sunrise Cloud,Dahlia 'Bantling',Focal,Low-mid,Middle,2,Small group,"18"" spacing"
Sunrise Cloud,Lizzy Dwarf Gladiolus,Accent Spike,Short-mid,Front/Middle,3,Clustered line,"6–9"" spacing"
Sunrise Cloud,Chamomile (Roman),Edge,Short,Front,4,Edge line or sprinkle,"6–9"" spacing"
Sunrise Cloud,Candy Cane Stripe Zinnia,Edge,Mid,Middle,2,Tight cluster,"12"" spacing"
Sunrise Cloud,Lemon Balm (in pot),,Short,Front Corner,1,Pot placement,
Sunrise Cloud,Calendula 'Pink Surprise',,Mid-low,Front,2,Loose cluster,
Sunrise Cloud,Aster 'Salmon Janina',Focal/Edge,,,,"9–12"" spacing",
Berry Patch,Dahlia 'Otto's Thrill',Focal,Tall,Back,2,Staggered line,"18–24"" spacing"
Berry Patch,Snapdragon 'Appleblossom',Focal,Tall,Back,3,Evenly spaced line,
Berry Patch,Zinnia 'Benary's Giant Coral',,Tall,Back,2,Line or triangle,
Berry Patch,Zinnia 'Macarenia',Accent,Mid,Middle,3,Loose group,"12"" spacing"
Berry Patch,Cosmos 'Candy Stripe',,Mid-tall,Middle,2,Arc or diagonal,
Berry Patch,Cosmos 'Sea Shells',Filler,,,,"12"" spacing",
Berry Patch,Pacific View Dahlia,,Mid,Middle,2,Small triangle,
Berry Patch,Calendula 'Pink Surprise',,Mid-low,Front,3,Edging drift,
Berry Patch,Parsley (Flat Leaf),,Low,Edge,1,Pot or corner plant,
Berry Patch,Dandelion 'Pink',Filler Edge,,,,"6–9"" spacing"
Berry Patch,Poppy 'Frosted Salmon',Filler Edge,,,,"6–9"" spacing"
Berry Patch,Ben Huston Dahlia,Focal,,,,"18–24"" spacing"
Berry Patch,Pink Double Delight Coneflower,Focal,,,,"18"" spacing"
Berry Patch,Rocco Dahlia,Focal/Texture,,,,"18"" spacing"
Spice Drift,Zinnia 'Redman Super Cactus',Focal,Tall,Back,3,Flame-like line,"12"" spacing"
Spice Drift,Cosmos 'Mandarin Orange',,Mid,Middle,3,Loose scatter,
Spice Drift,Snapdragons (deep tones),,Tall,Back,3,Vertical line,
Spice Drift,Snapdragon 'Orange Wonder',Line,,,,"9"" spacing"
Spice Drift,Snapdragon 'Tall Deluxe',Line,,,,"9"" spacing"
Spice Drift,Dahlia 'Advance',Focal/Transition,Mid-tall,Middle,2,Offset pair,"18–24"" spacing"
Spice Drift,Calendula 'Sunset Mix',,Mid-low,Front,3,Wavy drift,
Spice Drift,Marigold 'Amber Glow',,Short,Front edge,3,Cluster,
Spice Drift,Basil or Sage,,Short-mid,Corners,2,Flanking edges,
Spice Drift,Marmalade Coneflower,Focal,,,,"18"" spacing"
Spice Drift,Hyssop,Filler Spike,,,,"12"" spacing"
Moonlit Meadow,Cosmos (white),,Tall,Back,3,Line or arc,
Moonlit Meadow,Chamomile (Roman),Filler Edge,Short,Front,4,Border line,"6–9"" spacing"
Moonlit Meadow,Zinnia (white),,Mid-tall,Middle,3,Triangle,
Moonlit Meadow,Borage,,Mid,Middle,2,Loose group,
Moonlit Meadow,Snapdragons (white/blush),,Tall,Back,3,Mixed line,
Moonlit Meadow,Yarrow 'Summer Berries' (white),,Mid,Middle,2,Pair or drift,
Moonlit Meadow,Lavender 'Vera/Munstead',,Short-mid,Front/Mid,2,Small clump,
Moonlit Meadow,Fairway Pilot Dahlia,Focal,,,,"18–24"" spacing"
Moonlit Meadow,Hollyhock 'Majorette',Focal Spike,,,,"18–24"" spacing"
Moonlit Meadow,Lizzy Dwarf Gladiolus,Accent Spike,,,,"6–9"" spacing"
Moonlit Meadow,Daisy 'Pink Shades Paper',Filler,,,,"12"" spacing"
Moonlit Meadow,Bunny Tails Grass,Texture Edge,,,,"9"" spacing"
Moonlit Meadow,Johnny Jump Ups,Whimsy Edge,,,,"6"" spacing"
Twilight Hollow,Joe Pye Weed,,Tall,Back,2,Majestic line,
Twilight Hollow,Coneflower 'Parrot/Pink Double Delight',,Mid-tall,Middle,3,Arc,
Twilight Hollow,Poppy 'Purple Peony/Lilac PomPom',Edge,Mid,Middle,3,Loose scatter,"9"" spacing"
Twilight Hollow,Cosmos 'Sea Shells',,Tall,Back,2,Line,
Twilight Hollow,Snapdragon (lavender/purple),,Tall,Back,3,Tall arc,
Twilight Hollow,Tweedia 'Heavenly Blue',Filler,Vining,Middle/back,1,Trellis/edge,"12"" spacing"
Twilight Hollow,Lavender 'Hidcote Blue',,Short-mid,Front,2,Curve,
Twilight Hollow,Hyssop,,Tall,Back/Mid,2,Vertical contrast,
Twilight Hollow,Pacific Jewel Dahlia,Focal,,,,"18–24"" spacing"
Twilight Hollow,Daisy 'Blue Disc African',Accent,,,,"12"" spacing"
Twilight Hollow,Bachelor Buttons,Filler,,,,"9–12"" spacing"
