Zone (North to South),Row (East to West),Planting,Seed Variety / Source
Zone A,Row 1,Creeping Phlox,
Zone B,Row 1,Chamomile,Chamomile – Roman (Southern Seed Co.)
Zone D,Row 1,Calendula,Calendula – Sunset Mix (Eden Brothers)
Zone E,Row 1,Snapdragons,Snapdragon – Appleblossom (Southern Seed Co.)
Zone A,Row 2,Johnny Jump Ups,Johnny Jump Ups (Etsy)
Zone B,Row 2,Chamomile,Chamomile – Roman (Southern Seed Co.)
Zone C,Row 2,Pink Dandelion,Pink Dandelion (Rare Seeds)
Zone D,Row 2,Bachelor Buttons,Bachelor Buttons – Blue Boy (Etsy/Southern Seed Co.)
Zone E,Row 2,Nasturtiums/Marigolds,Nasturtium – Empress of India / Marigold – Strawberry Blonde (Rare Seeds)
Zone A,Row 3,River Start,
Zone C,Row 3,Cosmos,Cosmos – Apricotta / Sea Shells Mix (Rare Seeds)
Zone D,Row 3,Cosmos,Cosmos – Apricotta / Sea Shells Mix (Rare Seeds)
Zone A,Row 4,Coneflower (Marm.),Coneflower – Marmalade (Breck's)
Zone B,Row 4,River Flow,
Zone C,Row 4,Coneflower (Parrot),Coneflower – Parrot (Breck's)
Zone D,Row 4,Yarrow,Yarrow – Summer Berries (Southern Seed Co.)
Zone E,Row 4,Coneflower (Pink D.),Coneflower – Pink Double Delight (Breck's)
Zone A,Row 5,Tweedia,Tweedia – Heavenly Blue (Rare Seeds)
Zone B,Row 5,Edgeworthia,
Zone C,Row 5,River Flow,
Zone D,Row 5,Zinnias,Zinnia – Redman Super Cactus / Benary's Giant Coral (Rare Seeds)
Zone D,Row 6,River Flow,
Zone A,Row 7,Joe Pye Weed,Joe Pye Weed – Spotted (Southern Seed Co.)
Zone B,Row 7,Goldenrod,Goldenrod (Etsy)
Zone C,Row 7,Broadleaf Hydrangea,
Zone E,Row 7,River Exit,
Zone A,Row 8,Joe Pye Weed,Joe Pye Weed – Spotted (Southern Seed Co.)
Zone C,Row 8,Broadleaf Hydrangea,
Zone D,Row 8,Milkweed,Milkweed – Gay Butterflies Mix (Rare Seeds)
Zone A,Row 9,Goldenrod,Goldenrod (Etsy)
Zone C,Row 9,Broadleaf Hydrangea,
Zone E,Row 9,Butterfly Bush,
Zone E,Row 10,Butterfly Bush,
