Zone (North to South),Row (East to West),Seed Variety
Zone B,Row 1,Chamomile – Roman (Southern Seed Co.)
Zone D,Row 1,Calendula – Sunset Mix (Eden Brothers)
Zone E,Row 1,Snapdragon – Appleblossom (Southern Seed Co.)
Zone A,Row 2,Johnny Jump Ups (Etsy)
Zone B,Row 2,Chamomile – Roman (Southern Seed Co.)
Zone C,Row 2,Pink Dandelion (Rare Seeds)
Zone D,Row 2,Bachelor Buttons – Blue Boy (Etsy/Southern Seed Co.)
Zone E,Row 2,Nasturtium – Empress of India / Marigold – Strawberry Blonde (Rare Seeds)
Zone C,Row 3,Cosmos – Apricotta / Sea Shells Mix (Rare Seeds)
Zone D,Row 3,Cosmos – Apricotta / Sea Shells Mix (Rare Seeds)
Zone A,Row 4,Coneflower – Marmalade (Breck's)
Zone C,Row 4,Coneflower – Parrot (Breck's)
Zone D,Row 4,Yarrow – Summer Berries (Southern Seed Co.)
Zone E,Row 4,Coneflower – Pink Double Delight (Breck's)
Zone A,Row 5,Tweedia – Heavenly Blue (Rare Seeds)
Zone D,Row 5,Zinnia – Redman Super Cactus / Benary’s Giant Coral (Rare Seeds)
Zone A,Row 7,Joe Pye Weed – Spotted (Southern Seed Co.)
Zone B,Row 7,Goldenrod (Etsy)
Zone A,Row 8,Joe Pye Weed – Spotted (Southern Seed Co.)
Zone D,Row 8,Milkweed – Gay Butterflies Mix (Rare Seeds)
Zone A,Row 9,Goldenrod (Etsy)
